GCId,Type,Cause,UsedHeap,PauseTime
75,ParallelScavenge,Allocation Failure,262059240,5283261
76,ParallelScavenge,Allocation Failure,258692328,3029550
77,ParallelScavenge,Allocation Failure,255087848,6936170
78,ParallelScavenge,Allocation Failure,252040424,6157671
79,ParallelScavenge,Allocation Failure,248960232,6786877
80,ParallelScavenge,Allocation Failure,245912808,3569272
81,ParallelScavenge,Allocation Failure,242898152,5252587
82,ParallelScavenge,System.gc(),193408192,7417650
83,ParallelOld,System.gc(),94598376,227863496
84,ParallelScavenge,Allocation Failure,239661064,3942202
85,ParallelScavenge,Allocation Failure,237269000,5159252
86,ParallelScavenge,Allocation Failure,234745864,6350666
87,ParallelScavenge,Allocation Failure,232157192,3037442
88,ParallelScavenge,Allocation Failure,229601288,4360258
89,ParallelScavenge,Allocation Failure,227110920,3835190
90,ParallelScavenge,Allocation Failure,224522248,4205140
91,ParallelScavenge,Allocation Failure,222490632,5220836
92,ParallelScavenge,System.gc(),213046000,5658620
93,ParallelOld,System.gc(),95260680,129661127
94,ParallelScavenge,Allocation Failure,220412808,5219383
95,ParallelScavenge,Allocation Failure,218520456,5701444
96,ParallelScavenge,Allocation Failure,216554376,3822121
97,ParallelScavenge,Allocation Failure,214489992,5857032
98,ParallelScavenge,Allocation Failure,212466568,3319205
99,ParallelScavenge,Allocation Failure,210434952,5304951
100,ParallelScavenge,Allocation Failure,208403336,3268141
101,ParallelScavenge,Allocation Failure,206928776,5513509
102,ParallelScavenge,Allocation Failure,205421448,4682771
103,ParallelScavenge,Allocation Failure,203848584,2647762
104,ParallelScavenge,System.gc(),138236704,3757163
105,ParallelOld,System.gc(),95943560,112551863
106,ParallelScavenge,Allocation Failure,202213048,2677204
107,ParallelScavenge,Allocation Failure,200804024,2972341
108,ParallelScavenge,Allocation Failure,199296696,5165930
109,ParallelScavenge,Allocation Failure,197789368,5384097
110,ParallelScavenge,Allocation Failure,196282040,4036870
111,ParallelScavenge,Allocation Failure,194782904,4457303
112,ParallelScavenge,Allocation Failure,193308344,4568259
113,ParallelScavenge,Allocation Failure,191735480,5097806
114,ParallelScavenge,Allocation Failure,190752440,4408365
115,ParallelScavenge,Allocation Failure,189736632,5532099
116,ParallelScavenge,Allocation Failure,188761784,3475262
117,ParallelScavenge,Allocation Failure,187811512,5423260
118,ParallelScavenge,System.gc(),125549368,4064755
119,ParallelOld,System.gc(),96585400,117269404
120,ParallelScavenge,Allocation Failure,186622440,3624143
121,ParallelScavenge,Allocation Failure,185737704,5049541
122,ParallelScavenge,Allocation Failure,184721896,5772795
123,ParallelScavenge,Allocation Failure,183771624,5637523
124,ParallelScavenge,Allocation Failure,211591656,3169342
125,ParallelScavenge,Allocation Failure,209560040,6526135
126,ParallelScavenge,Allocation Failure,208085480,5530454
127,ParallelScavenge,Allocation Failure,206545384,4060165
128,ParallelScavenge,Allocation Failure,205005288,4888452
129,ParallelScavenge,Allocation Failure,203530728,6058563
130,ParallelScavenge,Allocation Failure,201990632,4642597
131,ParallelScavenge,System.gc(),175724576,5816140
132,ParallelOld,System.gc(),97280488,169235254
133,ParallelScavenge,Allocation Failure,200386080,3853650
134,ParallelScavenge,Allocation Failure,199009824,4946191
135,ParallelScavenge,Allocation Failure,197502496,3833871
136,ParallelScavenge,Allocation Failure,195995168,3076252
137,ParallelScavenge,Allocation Failure,194455072,4918757
138,ParallelScavenge,Allocation Failure,192955936,4607400
139,ParallelScavenge,Allocation Failure,191940128,4133991
140,ParallelScavenge,Allocation Failure,190989856,6216357
141,ParallelScavenge,Allocation Failure,189974048,3773399
142,ParallelScavenge,Allocation Failure,188892704,6895615
143,ParallelScavenge,Allocation Failure,187975200,5057185
144,ParallelScavenge,Allocation Failure,186959392,3478204
145,ParallelScavenge,System.gc(),150883088,5112445
146,ParallelOld,System.gc(),97871392,143210916
147,ParallelScavenge,Allocation Failure,183989808,5369761
148,ParallelScavenge,Allocation Failure,184677936,6162621
149,ParallelScavenge,Allocation Failure,183694896,5434534
150,ParallelScavenge,Allocation Failure,206304816,4477508
151,ParallelScavenge,Allocation Failure,204797488,5498840
152,ParallelScavenge,Allocation Failure,203322928,5353444
153,ParallelScavenge,Allocation Failure,201782832,3133883
154,ParallelScavenge,Allocation Failure,200242736,5646196
155,ParallelScavenge,Allocation Failure,198702640,3938056
156,ParallelScavenge,Allocation Failure,197228080,4725418
157,ParallelScavenge,Allocation Failure,195655216,5512420
158,ParallelScavenge,Allocation Failure,194180656,6324975
159,ParallelScavenge,System.gc(),102464872,2598559
160,ParallelOld,System.gc(),96695856,122966216
161,ParallelScavenge,Allocation Failure,192507968,2464685
162,ParallelScavenge,Allocation Failure,191623232,3010346
163,ParallelScavenge,Allocation Failure,190672960,4826623
164,ParallelScavenge,Allocation Failure,189689920,6104881
165,ParallelScavenge,Allocation Failure,188674112,2985506
166,ParallelScavenge,Allocation Failure,187625536,5068710
167,ParallelScavenge,Allocation Failure,186675264,3058151
168,ParallelScavenge,Allocation Failure,185626688,6800015
169,ParallelScavenge,Allocation Failure,184643648,4749202
170,ParallelScavenge,Allocation Failure,203583552,3412952
171,ParallelScavenge,Allocation Failure,202043456,6024863
172,ParallelScavenge,Allocation Failure,200503360,5742922
173,ParallelScavenge,System.gc(),156449552,6712158
174,ParallelOld,System.gc(),97349696,206292435
175,ParallelScavenge,Allocation Failure,198927408,5441441
176,ParallelScavenge,Allocation Failure,197551152,2881166
177,ParallelScavenge,Allocation Failure,196052016,5006910
178,ParallelScavenge,Allocation Failure,194511920,5675497
179,ParallelScavenge,Allocation Failure,193004592,4731344
180,ParallelScavenge,Allocation Failure,192054320,5210094
181,ParallelScavenge,Allocation Failure,191071280,4095013
