GCId,Type,Cause,UsedHeap,PauseTime
9,ParallelScavenge,Allocation Failure,63690624,5497100
10,ParallelScavenge,Allocation Failure,99841920,4629818
11,ParallelScavenge,Allocation Failure,98375504,4544625
12,ParallelScavenge,Allocation Failure,96966624,4967465
13,ParallelScavenge,Allocation Failure,95483888,6251838
14,ParallelScavenge,Allocation Failure,94500848,11885815
15,ParallelScavenge,Allocation Failure,93435904,10877038
16,ParallelScavenge,Allocation Failure,92305392,14119973
17,ParallelScavenge,Allocation Failure,91125744,18211680
18,ParallelScavenge,Allocation Failure,89880560,9007910
19,ParallelScavenge,Allocation Failure,89225216,8178530
20,ParallelScavenge,Allocation Failure,88537104,15510283
21,ParallelScavenge,Allocation Failure,87652368,14272746
22,ParallelScavenge,Allocation Failure,86800400,15796913
23,ParallelScavenge,Allocation Failure,85915664,18647106
24,ParallelScavenge,Allocation Failure,85448720,8363317
25,ParallelScavenge,Allocation Failure,85071920,14403868
26,ParallelScavenge,Allocation Failure,84613168,19253677
27,ParallelScavenge,Allocation Failure,84056112,23095909
28,ParallelScavenge,Allocation Failure,83531824,27170044
29,ParallelScavenge,Allocation Failure,82942000,12038788
30,ParallelScavenge,Allocation Failure,82319408,18148765
31,ParallelScavenge,Allocation Failure,82188336,24617215
32,ParallelScavenge,Allocation Failure,82057264,14771430
33,ParallelScavenge,Allocation Failure,81999920,14263345
34,ParallelScavenge,Allocation Failure,81827888,13466683
35,ParallelScavenge,Allocation Failure,81598512,12218522
36,ParallelScavenge,Allocation Failure,81459248,12906401
37,ParallelScavenge,Allocation Failure,81164336,11855702
38,ParallelScavenge,Allocation Failure,80934960,12003073
39,ParallelScavenge,Allocation Failure,80730160,11826630
40,ParallelScavenge,Allocation Failure,80427056,10991448
41,ParallelScavenge,Allocation Failure,80066608,10350576
42,ParallelScavenge,Allocation Failure,80287792,10608146
43,ParallelScavenge,Allocation Failure,80484400,10100249
44,ParallelOld,Ergonomics,47069232,111995432
45,ParallelScavenge,Allocation Failure,56054800,2421027
46,ParallelScavenge,Allocation Failure,56284176,1792546
47,ParallelScavenge,Allocation Failure,55890960,2917785
48,ParallelScavenge,Allocation Failure,55989264,2905995
49,ParallelScavenge,Allocation Failure,56087568,3250052
50,ParallelScavenge,Allocation Failure,56153104,4483923
51,ParallelScavenge,Allocation Failure,56218640,4374725
52,ParallelScavenge,Allocation Failure,56316944,4637272
53,ParallelScavenge,Allocation Failure,56382480,7042458
54,ParallelScavenge,Allocation Failure,56415248,5226973
55,ParallelScavenge,Allocation Failure,56480784,5461513
56,ParallelScavenge,Allocation Failure,56513552,6532857
57,ParallelScavenge,Allocation Failure,56579088,6646280
58,ParallelScavenge,Allocation Failure,56546320,8294847
59,ParallelScavenge,Allocation Failure,56579088,8644060
60,ParallelScavenge,Allocation Failure,56579088,6818941
61,ParallelScavenge,Allocation Failure,56562704,7482670
62,ParallelScavenge,Allocation Failure,56587280,8024836
63,ParallelScavenge,Allocation Failure,56529936,8234732
64,ParallelScavenge,Allocation Failure,56513552,6452565
65,ParallelScavenge,Allocation Failure,56464400,6396141
66,ParallelScavenge,Allocation Failure,56480784,6456322
67,ParallelScavenge,Allocation Failure,56890384,10099678
68,ParallelScavenge,Allocation Failure,57365520,7069718
69,ParallelScavenge,Allocation Failure,57807888,6660707
70,ParallelScavenge,Allocation Failure,58258448,5831757
71,ParallelScavenge,Allocation Failure,58741776,5927504
72,ParallelScavenge,Allocation Failure,59216912,7251950
73,ParallelScavenge,Allocation Failure,59708432,5730408
74,ParallelScavenge,Allocation Failure,60183568,6014831
75,ParallelScavenge,Allocation Failure,60617744,6282305
76,ParallelScavenge,Allocation Failure,61109264,10206564
77,ParallelScavenge,Allocation Failure,61527056,5900341
78,ParallelScavenge,Allocation Failure,62026768,6516195
79,ParallelScavenge,Allocation Failure,62477328,7803400
80,ParallelScavenge,Allocation Failure,62952464,5528896
81,ParallelScavenge,Allocation Failure,63386640,5578977
82,ParallelScavenge,Allocation Failure,63845392,6349948
83,ParallelScavenge,Allocation Failure,64279568,6564611
84,ParallelScavenge,Allocation Failure,64762896,5631713
85,ParallelScavenge,Allocation Failure,65229840,5611732
86,ParallelScavenge,Allocation Failure,65655824,5556613
87,ParallelScavenge,Allocation Failure,66155536,6958863
88,ParallelScavenge,Allocation Failure,66573328,6043366
89,ParallelScavenge,Allocation Failure,67032080,6620333
90,ParallelScavenge,Allocation Failure,67490832,5492090
91,ParallelScavenge,Allocation Failure,67990544,6547887
92,ParallelScavenge,Allocation Failure,68375568,6200485
93,ParallelScavenge,Allocation Failure,68883472,5640936
94,ParallelScavenge,Allocation Failure,69309456,5525241
95,ParallelScavenge,Allocation Failure,69800976,5637818
96,ParallelScavenge,Allocation Failure,70259728,5771186
97,ParallelScavenge,Allocation Failure,70693904,5570567
98,ParallelScavenge,Allocation Failure,71169040,5628518
99,ParallelScavenge,Allocation Failure,71635984,5737417
100,ParallelScavenge,Allocation Failure,72094736,6450737
101,ParallelScavenge,Allocation Failure,72578064,6298180
102,ParallelScavenge,Allocation Failure,73069584,6852940
103,ParallelScavenge,Allocation Failure,73503760,7138988
104,ParallelScavenge,Allocation Failure,73954320,6314340
105,ParallelScavenge,Allocation Failure,74372112,5660699
106,ParallelScavenge,Allocation Failure,74904592,9603448
107,ParallelScavenge,Allocation Failure,75363344,5720316
108,ParallelScavenge,Allocation Failure,75764752,5809066
109,ParallelScavenge,Allocation Failure,76256272,6645651
110,ParallelScavenge,Allocation Failure,76690448,5790081
111,ParallelScavenge,Allocation Failure,77190160,5728120
112,ParallelScavenge,Allocation Failure,77681680,7612386
113,ParallelOld,Ergonomics,56095760,54816858
114,ParallelScavenge,Allocation Failure,43009392,2542186
115,ParallelScavenge,Allocation Failure,43009392,1402205
116,ParallelScavenge,Allocation Failure,42911088,2073669
117,ParallelScavenge,Allocation Failure,43303928,2189458
118,ParallelScavenge,Allocation Failure,43730288,2581468
119,ParallelScavenge,Allocation Failure,44156272,2862007
120,ParallelScavenge,Allocation Failure,44582256,3443270
121,ParallelScavenge,Allocation Failure,45008240,3497876
122,ParallelScavenge,Allocation Failure,45466992,3830271
123,ParallelScavenge,Allocation Failure,45860208,4617542
124,ParallelScavenge,Allocation Failure,46286192,4251446
